user_id,name,email,phone,risk_score,account_creation_date,last_activity_date,fraud_history,kyc_verified,segment,typical_transaction_amount,typical_merchants,typical_locations
user_000000,Allison Hill,donaldgarcia@example.net,+1-219-560-0133,0.07,2023-11-16T23:11:47.479072,2025-04-18T13:42:40.079499,False,True,business,75.11,"[114, 71, 377, 52, 346, 379]","[151, 108]"
user_000001,Jerry Ramirez,blakeerik@example.com,942-335-1161x55940,0.01,2025-02-28T11:24:44.306677,2025-04-18T13:42:20.712063,False,True,premium,149.98,"[308, 13, 287, 101, 366, 332, 359, 279, 214, 112]","[150, 71, 1, 194, 40]"
user_000002,Sandra Montgomery,barbara10@example.net,441.731.6475,0.0,2022-01-27T04:00:16.478075,2025-04-18T13:42:38.210510,False,True,premium,32.29,"[490, 390, 172, 52, 47, 194]","[91, 88]"
user_000003,Melinda Jones,amandasanchez@example.com,(748)535-0305x6413,0.09,2023-07-29T08:00:22.624515,2025-04-18T13:42:21.737914,False,True,student,141.23,"[63, 498, 472, 193, 40, 282, 150, 424, 321, 316]","[147, 49, 180, 17, 11]"
user_000004,Judy Baker,julieryan@example.net,001-369-265-3287,0.1,2024-08-07T22:01:23.945914,2025-04-18T13:42:07.170479,False,True,standard,25.99,"[443, 51, 194, 142, 232, 325]","[41, 94, 90, 53, 171]"
user_000005,Michael Carlson,djames@example.net,280-618-4514x627,0.07,2025-02-26T05:36:18.787930,2025-04-18T13:42:43.717732,False,True,standard,99.26,"[325, 87, 273, 373, 125, 83, 236, 194, 138, 473]","[175, 83, 196, 198]"
user_000006,Ashley Garrett,ericfarmer@example.net,001-380-395-7015x43039,0.08,2023-12-15T23:32:51.734535,2025-04-18T13:42:46.961395,False,True,business,32.61,"[137, 33, 108, 467, 482, 290, 448, 367, 161]","[167, 127, 101, 164]"
user_000007,Kim Martinez,karroyo@example.com,596.338.3465x78713,0.01,2021-12-26T18:48:02.150494,2025-04-18T13:42:33.298523,False,True,premium,140.81,"[287, 275, 134, 382, 299, 219, 459, 298, 204, 185]","[35, 130, 126, 23]"
user_000008,Daniel Jones,perezrebecca@example.com,983-547-3829,0.14,2024-03-21T05:50:38.164077,2025-04-18T13:42:46.449820,False,True,premium,46.44,"[81, 405, 348, 216, 305, 32, 197, 195, 239, 270]","[141, 2, 174, 184, 29]"
user_000009,Brent Jordan,ujenkins@example.org,+1-610-965-1333x87262,0.0,2021-07-18T13:37:58.634566,2025-04-18T13:42:53.395936,False,True,business,80.59,"[328, 174, 57, 150, 222, 80, 232, 1, 488, 369]","[128, 195, 45, 129, 27]"
user_000010,Scott Pierce,pearsonamber@example.org,432-867-7360,0.02,2020-04-22T07:23:01.528080,2025-04-18T13:42:21.425305,False,True,premium,180.12,"[191, 390, 82, 276, 488]",[153]
user_000011,Rachel Mitchell,smoore@example.org,4982050097,0.25,2025-02-05T22:42:09.025007,2025-04-18T13:42:02.806688,False,True,business,131.86,"[157, 122, 29, 123, 449, 290, 484, 40, 43, 374]","[17, 194, 136, 196, 32]"
user_000012,Kurt Leonard,richarddavid@example.net,799.609.1699,0.01,2021-04-26T09:21:06.158900,2025-04-18T13:42:40.971508,False,True,premium,11.21,"[270, 446, 310, 216, 493, 108, 475]","[182, 79, 102, 171]"
user_000013,James Powers,stephen10@example.com,+1-791-618-3842x513,0.23,2021-01-31T10:46:13.717667,2025-04-18T13:42:48.024697,False,True,student,22.63,"[126, 115, 32, 173]",[150]
user_000014,Lisa Archer,contrerasangela@example.net,524-711-8244,0.01,2021-04-25T04:20:31.177135,2025-04-18T13:42:36.054277,False,True,standard,132.65,"[362, 323, 30, 117]","[8, 84]"
user_000015,John Whitehead,davisrodney@example.com,2053242786,0.14,2020-09-02T18:45:51.139844,2025-04-18T13:42:50.986384,False,True,student,29.27,"[276, 67, 370, 478, 451, 292]","[62, 121, 104, 48, 24]"
user_000016,Kimberly Davenport,russellwilliams@example.com,4535315869,0.26,2024-08-14T07:32:46.498548,2025-04-18T13:42:56.572362,False,True,student,163.96,"[239, 442, 373, 27, 344, 334, 330, 50, 31]","[186, 86, 27, 63, 49]"
user_000017,Sierra Johnson,kimberly63@example.com,(616)507-3375,0.03,2021-05-30T11:23:15.636786,2025-04-18T13:42:37.601991,False,True,student,22.24,"[142, 236, 127, 447, 472]","[113, 140]"
user_000018,Donald Jones,michael86@example.net,+1-350-814-2940,0.24,2022-01-09T15:58:02.609410,2025-04-18T13:42:45.185691,False,True,standard,50.61,"[474, 385, 434, 121]","[104, 124, 123]"
user_000019,William Wilson,jonathanfletcher@example.org,783.856.1595x14846,0.09,2023-10-13T14:43:27.318557,2025-04-18T13:42:31.264749,False,True,standard,76.57,"[194, 1, 199, 135, 474]","[73, 108, 178, 187, 142]"
user_000020,Maurice Gray,christinaturner@example.net,9449369957,0.08,2023-09-04T04:50:49.160952,2025-04-18T13:42:28.670440,False,True,premium,51.37,"[111, 495, 29, 296, 376, 277, 31]","[14, 12, 149, 122, 128]"
user_000021,Toni Fitzgerald,campbellelizabeth@example.net,813-543-3200x37917,0.01,2023-11-21T05:09:20.060400,2025-04-18T13:42:21.038708,False,True,standard,154.86,"[41, 435, 95, 35, 304, 34, 345, 441, 120, 206]","[145, 63]"
user_000022,Charles Watts,osbornejeffery@example.net,870.983.1727x88957,0.23,2024-10-12T20:28:14.253964,2025-04-18T13:42:42.619327,False,True,standard,12.24,"[336, 298, 289, 267, 161, 478, 133, 104, 342]","[61, 67, 101, 33, 171]"
user_000023,David Wright,katie87@example.net,347.414.3455,0.03,2021-01-18T19:38:34.278126,2025-04-18T13:42:20.982118,False,True,standard,35.63,"[234, 318, 288]","[18, 137]"
user_000024,Daniel Perry,amy60@example.org,(569)909-6705x46688,0.19,2021-05-24T01:54:10.982186,2025-04-18T13:42:24.150159,False,True,business,173.85,"[450, 125, 189, 145]","[112, 139, 180]"
user_000025,George Shelton,dramsey@example.org,+1-280-669-9016x272,0.1,2022-03-11T16:35:00.793825,2025-04-18T13:42:10.699617,False,False,standard,65.08,"[418, 283, 153, 477, 339, 53, 480, 449, 68, 135]","[27, 190]"
user_000026,Philip Gray,fking@example.com,5802531003,0.04,2023-05-28T01:18:44.411380,2025-04-18T13:42:12.312696,False,True,premium,37.79,"[175, 104, 351, 324, 436, 135, 258, 250, 128, 463]",[23]
user_000027,Brian Gould,xlyons@example.com,(699)812-4190,0.33,2022-04-12T17:48:15.470838,2025-04-18T13:42:40.900882,False,True,standard,77.13,"[170, 394, 66]","[41, 189, 113, 141, 180]"
user_000028,Michael Burton,terrykevin@example.net,+1-819-905-8651x850,0.01,2020-10-28T02:33:29.393254,2025-04-18T13:42:55.647254,False,True,standard,46.24,"[462, 76, 279, 18, 427, 189, 298, 282, 75, 220]","[10, 78, 93]"
user_000029,Sandra Zimmerman,hthompson@example.net,998-577-6945x314,0.09,2024-01-18T21:23:27.499382,2025-04-18T13:42:32.190979,False,True,standard,222.28,"[107, 349, 127, 341, 52, 181, 399, 286]","[158, 191, 39, 60, 41]"
user_000030,Gabrielle Snyder,hunter35@example.com,949-948-0831x36783,0.25,2022-07-15T19:52:07.716112,2025-04-18T13:41:59.034595,False,True,student,10.24,"[91, 377, 473]","[105, 171, 188, 63, 68]"
user_000031,Jared Sanchez,thomas85@example.com,001-485-557-4443x1351,0.03,2021-05-18T12:47:42.775521,2025-04-18T13:42:27.051915,False,True,student,35.42,"[439, 240, 113]","[117, 89, 78, 58]"
user_000032,Vanessa Warren,tina34@example.org,(924)308-2400x842,0.0,2024-08-29T03:10:29.396694,2025-04-18T13:42:32.443853,False,True,student,42.14,"[142, 442, 35, 495, 395, 179, 328, 260]","[173, 137, 84, 7, 29]"
